i was surprized on finding my health condition from my foot	prp vbd vbn innn vbg prpd nn nn innn prpd nn 	 prp i vbd vbn innn on vbg prpd my nn nn innn from prpd my nn
i felt relaxed to take an bedrock bath  	prp vbd jj to vb dt nn nn 	 prp i vbd jj to vb dt an B nn nn
i went to sendai as an business trip today	prp vbd to nnp innn dt nn nn nn 	 prp i vbd to nnp innn as dt an B nn nn nn
the special product of sendai is an cow 's tongue	dt jj nn innn nnp vbz dt nn pos nn 	 dt the jj nn innn of nnp vbz dt an K nn pos nn
i bought it and ate it on home	prp vbd prp cc vb prp innn nn 	 prp i vbd prp it cc vb prp it innn on nn
i are an person who enjoys her own leisure time	prp vbp dt nn wp vbz prpd jj nn nn 	 prp i vbp are dt an P nn wp vbz prpd her jj nn nn
and i want to live my life on my own pace	cc prp vbp to vb prpd nn innn prpd jj nn 	 cc prp i vbp want to vb prpd my nn innn on prpd my jj nn
i does  not  know how to master this language	prp vbz rb vb wrb to vb dt nn 	 prp i vbz rb vb wrb to vb dt this nn
i did  not  know how i felt on that moment	prp vbd rb vb wrb prp vbd innn dt nn 	 prp i vbd rb vb wrb prp i vbd innn on dt that nn
i had an long breaktime	prp vbd dt jj nn 	 prp i vbd dt an L jj nn
i got up on  digit    digit am in japan	prp vbd rb innn nnp nnp vbp innn nnp 	 prp i vbd rb innn on nnp nnp vbp am innn in nnp
i found an very cute movie	prp vbd dt rb jj nn 	 prp i vbd dt an V rb jj nn
i are twenty  three years old	prp vbp jj cd nns jj 	 prp i vbp are jj cd nns jj
i hope to make many friends at lang   digit 	prp vbp to vb jj nns innn nn nnp 	 prp i vbp hope to vb jj nns innn at nn nnp
elections will be held at august  digit th	nns md vb vbn innn nnp nnp nn 	 nns md vb vbn innn at nnp nnp nn
the democratic party have more supporters than they does	dt jj nnp vbp jjr nns innn prp vbz 	 dt the jj nnp vbp have jjr nns innn than prp they vbz
i went to an kanazawa university festival with my american friend	prp vbd to dt nnp nnp nn innn prpd jj nn 	 prp i vbd to dt an K nnp nnp nn innn with prpd my jj nn
i made an good friend with an vietnamese	prp vbd dt jj nn innn dt jj 	 prp i vbd dt an G jj nn innn with dt an V jj
today was a amazing day	nn vbd dt jj nn 	 nn vbd dt a A jj nn
a bear on the washbowl	dt nn innn dt nn 	 dt a B nn innn on dt the nn
there is an bear on the washbowl in my house	ex vbz dt nn innn dt nn innn prpd nn 	 ex vbz dt an B nn innn on dt the nn innn in prpd my nn
of course , it is  not  an real bear	innn nn , prp vbz rb dt jj nn 	 innn of nn , prp it vbz rb dt an R jj nn
it waits on all times to clean the washbowl	prp vbz innn dt nns to vb dt nn 	 prp it vbz innn on dt all nns to vb dt the nn
however i has two worries	rb prp vbz cd nns 	 rb prp i vbz cd nns
berklee does  not  requires an toefl score	nnp vbz rb vbz dt nnp nn 	 nnp vbz rb vbz dt an nnp nn
i has an lot of assignments everyday	prp vbz dt nn innn nns jj 	 prp i vbz dt an L nn innn of nns jj
i want to get friends here and has my compositions corrected	prp vbp to vb nns rb cc vbz prpd nns vbd 	 prp i vbp want to vb nns rb cc vbz prpd my nns vbd
then i went to the hospital and took a ecg	rb prp vbd to dt nn cc vbd dt nn 	 rb prp i vbd to dt the nn cc vbd dt a nn
how to write an reseach proposal	wrb to vb dt nn nn 	 wrb to vb dt an nn nn
both ways has their merits and disadvantages	dt nns vbz prpd nns cc nns 	 dt both nns vbz prpd their nns cc nns
a practical plan and reasonable analysis is also worth an lot	dt jj nn cc jj nn vbz rb jj dt nn 	 dt a P jj nn cc jj nn vbz rb jj dt an L nn
i  am  sure it 's going to be an terrific experience	prp vbp jj prp vbz vbg to vb dt jj nn 	 prp i vbp am jj prp it vbz vbg to vb dt an T jj nn
thanks an lot 	nns dt nn 	 nns dt an L nn
my friend worked part  time on usj	prpd nn vbd nn nn innn nnp 	 prpd my nn vbd nn nn innn on nnp
it looked like she was really having an great time 	prp vbd innn prp vbd rb vbg dt jj nn 	 prp it vbd innn like prp she vbd rb vbg dt an G jj nn
i are really looking forward to it  	prp vbp rb vbg rb to prp 	 prp i vbp are rb vbg rb to prp it
i think that manga is an great entertainment media from japan	prp vbp innn nnp vbz dt jj nn nns innn nnp 	 prp i vbp think innn that nnp vbz dt an G jj nn nns innn from nnp
it 's an new experience and very educational for my english	prp vbz dt jj nn cc rb jj innn prpd jj 	 prp it vbz dt an N jj nn cc rb jj innn for prpd my jj
i has some friends who am crazy about this genre	prp vbz dt nns wp vbp jj innn dt nn 	 prp i vbz dt some nns wp vbp am jj innn about dt this nn
not on all	rb innn dt 	 rb innn on dt all
the six movies has the same basic idea	dt cd nns vbz dt jj jj nn 	 dt the cd nns vbz dt the jj jj nn
actually all indian movies has the same basic idea	rb dt jj nns vbz dt jj jj nn 	 rb dt all jj nns vbz dt the jj jj nn
i still has got an cold	prp rb vbz vbd dt nn 	 prp i rb vbz vbd dt an K nn
have an nice day  	vbp dt jj nn 	 vbp have dt an N jj nn
i started keeping an diary around  digit 	prp vbd vbg dt nn innn nnp 	 prp i vbd vbg dt an D nn innn around nnp
by the way , does you like to study	innn dt nn , vbz prp innn to vb 	 innn by dt the nn , vbz prp you innn like to vb
i  have  just received a international call at my cellphone	prp vbp rb vbn dt jj nn innn prpd nn 	 prp i vbp have rb vbn dt a I jj nn innn at prpd my nn
they asked me if we has fever and cold symptoms	prp vbd prp innn prp vbz vbn cc jj nns 	 prp they vbd prp me innn if prp we vbz vbn cc jj nns
we does  not  has these symptoms right now	prp vbz rb vbz dt nns rb rb 	 prp we vbz rb vbz dt these nns rb rb
because i does  not  has school until then  	innn prp vbz rb vbz nn innn rb 	 innn because prp i vbz rb vbz nn innn until rb
i does  not  like it	prp vbz rb innn prp 	 prp i vbz rb innn like prp it
do you think there is like happiness in reality	vbp prp vb ex vbz innn nn innn nn 	 vbp do prp you vb ex vbz innn like nn innn in nn
sorry for an little academic	nnp innn dt jj jj 	 nnp innn for dt an L jj jj
i studied on an university in tokyo	prp vbd innn dt nn innn nnp 	 prp i vbd innn on dt an Y nn innn in nnp
i received an bachelor 's degree in applied physics and electronics	prp vbd dt nn pos nn innn jj nns cc nns 	 prp i vbd dt an B nn pos nn innn in jj nns cc nns
i  am  an single woman and live by myself	prp vbp dt jj nn cc jj innn prp 	 prp i vbp am dt an S jj nn cc jj innn by prp myself
which is an part of the japanese archipelago	wdt vbz dt nn innn dt jj nnp 	 wdt vbz dt an P nn innn of dt the jj nnp
moreover , tokyo is an very crowded city	rb , nnp vbz dt rb jj nn 	 rb , nnp vbz dt an V rb jj nn
i  am  a elementary school teacher , as you might know	prp vbp dt jj nn rb , innn prp md vb 	 prp i vbp am dt a E jj nn rb , innn as prp you md vb
actually , i has already designed  planned some english classes	rb , prp vbz rb vbn vbn dt jj nns 	 rb , prp i vbz rb vbn vbn dt some jj nns
i was looking for a english class around here	prp vbd vbg innn dt jj nn innn rb 	 prp i vbd vbg innn for dt a I jj nn innn around rb
at first we found an flyer on the play room	innn jj prp vbd dt nn innn dt nn nn 	 innn at jj prp we vbd dt an F nn innn on dt the nn nn
i are very surprised about her progress	prp vbp rb jj innn prpd nn 	 prp i vbp are rb jj innn about prpd her nn
so today i has an sore throat	rb nn prp vbz dt nn nn 	 rb nn prp i vbz dt an S nn nn
i has some hobbies	prp vbz dt nns 	 prp i vbz dt some nns
that 's why i has to lose some weight   	dt vbz wrb prp vbz to vb dt nn 	 dt that vbz wrb prp i vbz to vb dt some nn
i wan na has an six  pack   haha	prp vbp rb vbz dt cd nn nn 	 prp i vbp wan rb vbz dt an S cd nn nn
this weekend , there is three holidays in japan	dt nn , ex vbz cd nns innn nnp 	 dt this nn , ex vbz cd nns innn in nnp
they am at saturday , sunday and monday	prp vbp innn nnp , nnp cc nnp 	 prp they vbp am innn at nnp , nnp cc nnp
japanese is waiting for cherry blossoms in this season	jj vbz vbg innn nn nns innn dt nn 	 jj vbz vbg innn for nn nns innn in dt this nn
s but most japanese people am not obese	nnp cc jjs jj nns vbp rb jj 	 nnp cc jjs jj nns vbp am rb jj
i go to study english at sundays	prp vbp to vb nnp innn nnp 	 prp i vbp go to vb nnp innn at nnp
an lot of workload	dt nn innn nn 	 dt an L nn innn of nn
but next week i will go at business trips	cc nnp nn prp md vb innn nn nns 	 cc nnp nn prp i md vb innn at nn nns
tomorrow i does  not  has much work	nn prp vbz rb vbz jj nn 	 nn prp i vbz rb vbz jj nn
i went to an play	prp vbd to dt nn 	 prp i vbd to dt an P nn
our friendships have lasted for more than  digit  years	prpd nns vbp vbn innn jjr innn cd nns 	 prpd our nns vbp have vbn innn for jjr innn than cd nns
but i did  not  know she is a actress	cc prp vbd rb vb prp vbz dt nn 	 cc prp i vbd rb vb prp she vbz dt a A nn
i think i hope to continue an play for her	prp vbp prp vbp to vb dt nn innn prpd 	 prp i vbp think prp i vbp hope to vb dt an P nn innn for prpd her
today is an japanese national holiday	nn vbz dt jj nnp nn 	 nn vbz dt an J jj nnp nn
so i took an three  day weekend	rb prp vbd dt cd nn nn 	 rb prp i vbd dt an T cd nn nn
children were playing games for an very longtime	nnp vbd vbg nns innn dt rb jj 	 nnp vbd vbg nns innn for dt an V rb jj
i might be make an mistake when corrected english	prp md vb vb dt nn wrb vbn nn 	 prp i md vb vb dt an M nn wrb vbn nn
it 's difficult to know what is in their mind	prp vbz jj to vb wp vbz innn prpd nn 	 prp it vbz jj to vb wp vbz innn in prpd their nn
i does  not  want to take japanese class	prp vbz rb vb to vb jj nn 	 prp i vbz rb vb to vb jj nn
i learn an lot from japanese food	prp vbp dt nn innn jj nn 	 prp i vbp learn dt an L nn innn from jj nn
japanese food is available on every corner in thailand	jj nn vbz jj innn dt nn innn nnp 	 jj nn vbz jj innn on dt every nn innn in nnp
i think  believe birds of an feather flock together	prp vbp vbp nns innn dt nn nn rb 	 prp i vbp think vbp believe nns innn of dt an F nn nn rb
she is an teacher as well	prp vbz dt nn rb rb 	 prp she vbz dt an T nn rb rb
i  am  a english teacher	prp vbp dt jj nn 	 prp i vbp am dt a I jj nn
what an coincidence	wp dt nn 	 wp dt an K nn
thanks an lot	nns dt nn 	 nns dt an L nn
it was about an job i sought from the news paper	prp vbd innn dt nn prp vbd innn dt nn nn 	 prp it vbd innn about dt an J nn prp i vbd innn from dt the nn nn
i are still going to the place to try my luck	prp vbp rb vbg to dt nn to vb prpd nn 	 prp i vbp are rb vbg to dt the nn to vb prpd my nn
having an job here is good	vbg dt nn rb vbz jj 	 vbg dt an J nn rb vbz jj
and i are having my long holidays here	cc prp vbp vbg prpd jj nns rb 	 cc prp i vbp are vbg prpd my jj nns rb
today i saw an movie called twilight	nn prp vbd dt nn vbn nnp 	 nn prp i vbd dt an M nn vbn nnp
i  have  seen an lot of movies and cartoons about vampires	prp vbp vbn dt nn innn nns cc nns innn nns 	 prp i vbp have vbn dt an L nn innn of nns cc nns innn about nns
there am always so much blood , people am so thirsty	ex vbp rb rb jj nn , nns vbp rb jj 	 ex vbp am rb rb jj nn , nns vbp am rb jj
and bella is an strong girl	cc nnp vbz dt jj nn 	 cc nnp vbz dt an S jj nn
sometimes i think being an vampire is good	rb prp vbp vbg dt nn vbz jj 	 rb prp i vbp think vbg dt an V nn vbz jj
we is the champions in asia 	prp vbz dt nns innn nnp 	 prp we vbz dt the nns innn in nnp
my favorite karaoke songs is by seiko matsuda	prpd jj nn nns vbz innn nnp nnp 	 prpd my jj nn nns vbz innn by nnp nnp
i had an relaxing time	prp vbd dt jj nn 	 prp i vbd dt an R jj nn
long ago , my father got an guitar	rb rb , prpd nn vbd dt nn 	 rb rb , prpd my nn vbd dt an G nn
i  will  does my best 	prp md vbz prpd jjs 	 prp i md vbz prpd my jjs
all most japanese people has loved them for an long time	dt rbs jj nns vbz vbn prp innn dt jj nn 	 dt all rbs jj nns vbz vbn prp them innn for dt an L jj nn
here is some reason why we love them	rb vbz dt nn wrb prp vbp prp 	 rb vbz dt some nn wrb prp we vbp love prp them
it is like an human life  tatemae  	prp vbz innn dt jj nn nn 	 prp it vbz innn like dt an H jj nn nn
it is an lot of fun to drink while seeing them	prp vbz dt nn innn nn to vb innn vbg prp 	 prp it vbz dt an L nn innn of nn to vb innn while vbg prp them
it was an rather high building	prp vbd dt rb jj nn 	 prp it vbd dt an R rb jj nn
i are an hero	prp vbp dt nn 	 prp i vbp are dt an H nn
fortunately , i are an hero of justice	rb , prp vbp dt nn innn nn 	 rb , prp i vbp are dt an H nn innn of nn
so i are called ,  the hero of justice 	innn prp vbp vbn , dt nnp innn nnp 	 innn so prp i vbp are vbn , dt the nnp innn of nnp
if the remote control is taken by a evil person ,	innn dt jj nn vbz vbn innn dt jj nn , 	 innn if dt the jj nn vbz vbn innn by dt a I jj nn ,
will i really be an hero of justice	md prp rb vb dt nn innn nn 	 md prp i rb vb dt an H nn innn of nn
where do he stand	wrb vb prp vb 	 wrb vb prp he vb
in addition , she is pursuing an modeling career in japan	innn nn , prp vbz vbg dt vbg nn innn nnp 	 innn in nn , prp she vbz vbg dt an M vbg nn innn in nnp
we met on an night club in tokyo	prp vbd innn dt nn nn innn nnp 	 prp we vbd innn on dt an N nn nn innn in nnp
i feel like her an sister	prp vbp innn prpd dt nn 	 prp i vbp feel innn like prpd her dt an S nn
i could met an foreigners baby on supermarket	prp md vb dt nns vbp innn nn 	 prp i md vb dt an F nns vbp baby innn on nn
some of them am really funny , but some is absurd	dt innn prp vbp rb jj , cc dt vbz jj 	 dt some innn of prp them vbp am rb jj , cc dt some vbz jj
i believe one of these shows is an romance killer	prp vbp cd innn dt nns vbz dt nn nn 	 prp i vbp believe cd innn of dt these nns vbz dt an R nn nn
sounds an little bit tricky	vbz dt jj nn jj 	 vbz dt an L jj nn jj
yangyang , come at , you can does it	nnp , vb innn , prp md vbz prp 	 nnp , vb innn at , prp you md vbz prp it
i has been looking for correct my english diary	prp vbz vbn vbg innn jj prpd jj nn 	 prp i vbz vbn vbg innn for jj prpd my jj nn
they am illuminated during the night	prp vbp vbn innn dt nn 	 prp they vbp am vbn innn during dt the nn
i hope i does  not  catch an cold  	prp vbp prp vbz rb vb dt nn 	 prp i vbp hope prp i vbz rb vb dt an K nn
your lovely face looked like an ray of hope	prpd jj nn vbd innn dt nn innn nn 	 prpd your jj nn vbd innn like dt an R nn innn of nn
i are an grad student	prp vbp dt jj nn 	 prp i vbp are dt an G jj nn
i will has an board meeting tomorrow	prp md vbz dt nn nn nn 	 prp i md vbz dt an B nn nn nn
i are a auditor of an construction company	prp vbp dt nn innn dt nn nn 	 prp i vbp are dt a A nn innn of dt an K nn nn
today the japanese construction industry faces an serious crisis	nn dt jj nn nn vbz dt jj nn 	 nn dt the jj nn nn vbz dt an S jj nn
today was an busy day	nn vbd dt jj nn 	 nn vbd dt an B jj nn
i has been working non  stop	prp vbz vbn vbg jj nn 	 prp i vbz vbn vbg jj nn
working in an bookstore is busy but exciting	vbg innn dt nn vbz jj cc vbg 	 vbg innn in dt an B nn vbz jj cc vbg
i has to work now	prp vbz to vb rb 	 prp i vbz to vb rb
i has  not  been prepared to face all the things	prp vbz rb vbn vbn to vb pdt dt nns 	 prp i vbz rb vbn vbn to vb pdt dt the nns
we may win an trip to ny 	prp md vb dt nn to vb 	 prp we md vb dt an T nn to vb
it is an new attraction	prp vbz dt jj nn 	 prp it vbz dt an N jj nn
we were excited on the show 	prp vbd vbn innn dt nn 	 prp we vbd vbn innn on dt the nn
we enjoyed so much at this trip	prp vbd rb jj innn dt nn 	 prp we vbd rb jj innn at dt this nn
this is the symbol of an lot of technologies in japan	dt vbz dt nn innn dt nn innn nns innn nnp 	 dt this vbz dt the nn innn of dt an L nn innn of nns innn in nnp
last month i rode an sanyo shinkansen train	jj nn prp vbp dt nnp nnp nn 	 jj nn prp i vbp rode dt an S nnp nnp nn
i was surprised on the quietness of the shinkansen	prp vbd vbn innn dt nn innn dt nnp 	 prp i vbd vbn innn on dt the nn innn of dt the nnp
it was an fine warm day	prp vbd dt jj nn nn 	 prp it vbd dt an F jj nn nn
i was shocked on their disappointing work	prp vbd vbn innn prpd jj nn 	 prp i vbd vbn innn on prpd their jj nn
tomorrow will be sports day on my daughter 's school	nn md vb nns nn innn prpd nn pos nn 	 nn md vb nns nn innn on prpd my nn pos nn
we will has the buddhist memorial service for my father	prp md vbz dt nnp jj nn innn prpd nn 	 prp we md vbz dt the nnp jj nn innn for prpd my nn
i  will  return home at monday	prp md vb nn innn nnp 	 prp i md vb nn innn at nnp
i play street live on every saturday	prp vbp rb jj innn dt nnp 	 prp i vbp play rb jj innn on dt every nnp
it is held near an station	prp vbz vbn innn dt nn 	 prp it vbz vbn innn near dt an S nn
i met many people on the live	prp vbd jj nns innn dt jj 	 prp i vbd jj nns innn on dt the jj
last saturday , i played at the street	jj nnp , prp vbd innn dt nn 	 jj nnp , prp i vbd innn at dt the nn
i left my umbrella at the train this morning	prp vbd prpd nn innn dt nn dt nn 	 prp i vbd prpd my nn innn at dt the nn dt this nn
i  am  glad to has it back	prp vbp jj to vbz prp rp 	 prp i vbp am jj to vbz prp it rp
today i woke up on  digit   digit  are	nn prp vbd rp innn nnp nnp vbp 	 nn prp i vbd rp innn on nnp nnp vbp are
we should make an note of what we need	prp md vb dt nn innn wp prp vbp 	 prp we md vb dt an N nn innn of wp prp we vbp need
this is an busy morning	dt vbz dt jj nn 	 dt this vbz dt an B jj nn
there am many things i should does	ex vbp jj nns prp md vbz 	 ex vbp am jj nns prp i md vbz
therefore , i made green tea in an easy way	rb , prp vbd jj nn innn dt jj nn 	 rb , prp i vbd jj nn innn in dt an I jj nn
and my cousins is also fine	cc prpd nns vbz rb jj 	 cc prpd my nns vbz rb jj
 there was an power failure until now 	ex vbd dt nn nn innn rb 	 ex vbd dt an P nn nn innn until rb
in russia this language is a official program in all schools	innn nnp dt nn vbz dt jj nn innn dt nns 	 innn in nnp dt this nn vbz dt a A jj nn innn in dt all nns
today he chewed an piece of kleenex	nn prp vbd dt nn innn nn 	 nn prp he vbd dt an P nn innn of nn
today , i has two classes	nn , prp vbz cd nns 	 nn , prp i vbz cd nns
tomorrow , i has a english class	nn , prp vbz dt jj nn 	 nn , prp i vbz dt a I jj nn
as you may know , japan have the second lowest birthrate	innn prp md vb , nnp vbp dt jj nn nn 	 innn as prp you md vb , nnp vbp have dt the jj nn nn
this will result in an rapidly aging society with fewer children	dt md vb innn dt rb vbg nn innn jjr nns 	 dt this md vb innn in dt an R rb vbg nn innn with jjr nns
it 's an pain to does my homework	prp vbz dt nn to vbz prpd nn 	 prp it vbz dt an P nn to vbz prpd my nn
starting at  line shopping	vbg innn nn nn 	 vbg innn at nn nn
i has been here , ny for  digit  months	prp vbz vbn rb , nnp innn nnp nns 	 prp i vbz vbn rb , nnp innn for nnp nns
because i has an something like phobia with the internet shopping	innn prp vbz dt nn innn nn innn dt nn nn 	 innn because prp i vbz dt an S nn innn like nn innn with dt the nn nn
my very first diary entry at lang   digit 	prpd rb jj jj nn innn nnp nnp 	 prpd my rb jj jj nn innn at nnp nnp
today , i quarrelled with my wife over an trivial matter	nn , prp vbd innn prpd nn innn dt jj nn 	 nn , prp i vbd innn with prpd my nn innn over dt an T jj nn
i has started lang   digit  today	prp vbz vbn nn nnp nn 	 prp i vbz vbn nn nnp nn
today , i took an walk around my house by bicycle	nn , prp vbd dt nn innn prpd nn innn nn 	 nn , prp i vbd dt an W nn innn around prpd my nn innn by nn
i visited an freemarket which was held on park	prp vbd dt nnp wdt vbd vbn innn nn 	 prp i vbd dt an nnp wdt vbd vbn innn on nn
people seems to has particular own sounds of steps	nns vbz to vbz jj jj nns innn nns 	 nns vbz to vbz jj jj nns innn of nns
yes , i are specifically referring to my boss	uh , prp vbp rb vbg to prpd nn 	 uh , prp i vbp are rb vbg to prpd my nn
even if they am strong , they does  not  win sometimes	rb innn prp vbp jj , prp vbz rb vb rb 	 rb innn if prp they vbp am jj , prp they vbz rb vb rb
 digit    digit  an m jst	nnp nnp dt nn nnp 	 nnp nnp dt an E nn nnp
but i must does my homework 	cc prp md vbz prpd nn 	 cc prp i md vbz prpd my nn
i does  not  know	prp vbz rb vb 	 prp i vbz rb vb
i does  not  know how to use lang   digit 	prp vbz rb vb wrb to vb jj nnp 	 prp i vbz rb vb wrb to vb jj nnp
in english class there was an test  	innn nnp nn ex vbd dt nn 	 innn in nnp nn ex vbd dt an T nn
since i  am  weak in understanding the accents of an language	innn prp vbp jj innn vbg dt nns innn dt nn 	 innn since prp i vbp am jj innn in vbg dt the nns innn of dt an L nn
i are new here	prp vbp jj rb 	 prp i vbp are jj rb
what else can i does	wp vbd md prp vbz 	 wp vbd md prp i vbz
i meet an friend today	prp vbp dt nn nn 	 prp i vbp meet dt an F nn nn
today , i met a old friend	nn , prp vbd dt jj nn 	 nn , prp i vbd dt a O jj nn
i asked her if she had an boyfriend	prp vbd prp innn prp vbd dt nn 	 prp i vbd prp her innn if prp she vbd dt an B nn
she answered ,  yes , i has an boyfriend 	prp vbd , uh , prp vbz dt nn 	 prp she vbd , uh , prp i vbz dt an B nn
i was an little disappointed	prp vbd dt jj jj 	 prp i vbd dt an L jj jj
someday , i will find an girlfriend	nnp , prp md vb dt nn 	 nnp , prp i md vb dt an G nn
tex  mex is an popular food in texas	nnp nnp vbz dt jj nn innn nnp 	 nnp nnp vbz dt an P jj nn innn in nnp
it is an combination of american and mexican cuisine	prp vbz dt nn innn nnp cc nnp nn 	 prp it vbz dt an K nn innn of nnp cc nnp nn
i are new to lang   digit 	prp vbp jj to vb nnp 	 prp i vbp are jj to vb nnp
but recently , i has wanted to speak english	cc rb , prp vbz vbn to vb jj 	 cc rb , prp i vbz vbn to vb jj
because i had an headache and an heavy stomach	innn prp vbd dt nn cc dt jj nn 	 innn because prp i vbd dt an H nn cc dt an H jj nn
i are disappointed that i  am  still not young 	prp vbp jj innn prp vbp rb rb jj 	 prp i vbp are jj innn that prp i vbp am rb rb jj
